Vote,Avg_environmental_importance,Avg_government_satisfaction,Avg_education_importance,Avg_monthly_expense_on_pets_or_plants,Avg_Residancy_Altitude,Yearly_ExpensesK,Weighted_education_rank,Number_of_valued_Kneset_members,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social
4,-0.3325296943934591,-0.39533139177892435,-0.36239690790586626,-0.30068972853732373,-0.3538097650951908,0.8129920349436185,0.02062434109910481,0.0007693472812531854,0,0,1,0,0,0,0,0
8,-0.48998914009747224,-0.4727473439097077,-0.4468745382282044,-0.352057572508273,-0.3533280530772983,0.8470434478945165,0.07875177672113111,0.0008746402899695971,0,1,0,0,0,0,0,0
0,-0.43594041022321306,-0.4051318322005289,-0.43314964459290495,-0.35933882757484487,-0.3528895372514865,0.7161722210962872,0.0527462854275116,0.001295812324835244,0,1,0,0,0,0,0,0
2,-0.3720972386247716,-0.3684823412078739,-0.3408394453182337,-0.304648098648834,-0.3537725269985696,0.44625031582493907,0.014958740534212107,0.0010852263074024205,0,1,0,0,0,0,0,0
2,-0.38911199790546136,-0.3697916849603504,-0.3375093729371569,-0.376429039076572,-0.3532550664079207,0.29181871191969155,0.019723552119265565,0.0014011053335516556,1,0,0,0,0,0,0,0
0,-0.431233580534228,-0.36574606372854995,-0.4772990588644235,-0.37089370801094657,-0.35155061485475897,0.38748273368252767,0.059526527811822556,0.0009799332986860088,0,1,0,0,0,0,0,0
9,-0.3879383427270405,-0.3621108606492147,-0.3423316425554824,-0.3627423001198318,-0.35319667707241853,0.2743929235688403,0.007671178408775645,0.00034817524638753873,0,0,0,0,0,0,0,1
6,-0.3223465318703363,-0.3724653203804065,-0.3438652899663857,-0.3668897349754608,-0.3550600714273458,0.8305067303778925,0.011500761393246997,0.0006640542725367738,0,1,0,0,0,0,0,0
9,-0.4029609056508417,-0.3839614703204315,-0.3456520709413275,-0.34929502566562287,-0.3542089574909706,0.5764991930392095,0.028875590669669302,0.0005587612638203621,0,1,0,0,0,0,0,0
8,-0.4851116759383628,-0.46906763761731135,-0.41532548107694256,-0.3215444653461547,-0.3519076431197774,0.42313447413503447,0.07200715382787676,0.0009799332986860088,0,0,1,0,0,0,0,0
6,-0.3964504120481622,-0.39765772784210585,-0.31894273959992203,-0.3531418593412136,-0.3533688660311952,0.32578121778716684,0.027334064744938966,0.0005587612638203621,0,0,0,0,0,0,0,1
10,-0.3292409245803608,-0.30777026244962313,-0.3549593357850896,-0.3653725323238671,-0.3543418230197152,0.7939659190911585,0.012695892472407683,0.0006640542725367738,0,0,0,1,0,0,0,0
6,-0.3322243642855896,-0.3545024708484574,-0.3277092360661015,-0.37140751947277423,-0.354175294251625,0.5664526926124432,0.0035950794530886297,0.0007693472812531854,0,1,0,0,0,0,0,0
2,-0.3823404736190068,-0.3600435126849171,-0.3353511356755174,-0.33668837116535727,-0.35436744283019056,0.6237977614200912,0.016126815292499146,0.0007693472812531854,0,0,0,0,1,0,0,0
2,-0.3605973098144635,-0.3656878742431416,-0.33275589169101577,-0.3792418811875896,-0.3531567578328406,0.2624793743901972,0.010935354742726446,0.0009799332986860088,0,1,0,0,0,0,0,0
0,-0.35746648798232217,-0.3464410752798792,-0.477271764367762,-0.3696005112371469,-0.3519302838825231,0.42989141247516044,0.04987289294702615,0.0011905193161188322,0,0,0,0,1,0,0,0
2,-0.36265166315976594,-0.3721998648543443,-0.30078762326292774,-0.3598815686435391,-0.35414937653637657,0.5587177763546675,0.01576515185690366,0.0007693472812531854,0,0,0,0,0,0,0,1
2,-0.36160694608856336,-0.39299546767461124,-0.32763062147840577,-0.34658685864135086,-0.35430875558991554,0.6062830659858174,0.012314090228382701,0.0009799332986860088,0,0,1,0,0,0,0,0
9,-0.3374757453522128,-0.35049732612557644,-0.34383087532287576,-0.32108234046785183,-0.35407996472427455,0.538002425917176,0.004915484240780857,0.0007693472812531854,1,0,0,0,0,0,0,0
0,-0.45851501147332974,-0.4609277494408516,-0.47164058963285577,-0.3537953591337287,-0.35296699249245866,0.7392880627861917,0.07489547960357708,0.0006640542725367738,0,0,0,0,0,0,0,1
2,-0.3538657711884013,-0.37221918254801184,-0.32733751221834384,-0.3880679477338063,-0.3541818481566303,0.5684086484477429,0.011231943086707729,0.0008746402899695971,0,1,0,0,0,0,0,0
5,-0.42856410004541184,-0.43154778424904466,-0.43795857786717385,-0.2692427503256075,-0.35330839136228226,0.6633614135431973,0.056590115451416415,0.0010852263074024205,0,1,0,0,0,0,0,0
5,-0.4763019684067407,-0.4753391104190898,-0.28447220561536324,-0.21535816545953096,-0.3519541162643608,0.2591898123035569,0.06665553671810524,0.0008746402899695971,0,0,0,0,0,0,0,1
2,-0.3615077573382564,-0.37074132358791734,-0.34185579232318075,-0.37951412192048956,-0.3532651951702016,0.29484155275606366,0.013054818259317686,0.0010852263074024205,0,0,0,0,0,0,0,1
0,-0.4286623286540155,-0.39890384151479485,-0.4417032503642651,-0.3508797069023684,-0.35254903209598176,0.6145514247441294,0.05241480818369826,0.001295812324835244,1,0,0,0,0,0,0,0
7,-0.39446604139091007,-0.3329016621464815,-0.27918147646629055,-0.37050674843682363,-0.3532360005024506,0.2861286585806381,0.024864247051777113,0.0008746402899695971,0,0,0,0,0,0,0,1
0,-0.3905659892299432,-0.3785915680228064,-0.39266207305599016,-0.36431083679219844,-0.353261918217699,0.8273060753746748,0.0302548400004033,0.0010852263074024205,0,0,0,0,1,0,0,0
5,-0.37833283533356765,-0.44456237942760446,-0.22370206913215224,-0.23904606316726845,-0.352735222579088,0.49230418503790296,0.05101436932677233,0.0010852263074024205,0,1,0,0,0,0,0,0
8,-0.4886714931440378,-0.4942668258933024,-0.4804170538957057,-0.3837539791895484,-0.35174141225646016,0.3735243215851622,0.08883790463537616,0.0013533204394374637,1,0,0,0,0,0,0,0
0,-0.4886624342401748,-0.3949087842294434,-0.3985234271572164,-0.37870212967630273,-0.35296282182563715,0.7380433636182738,0.05889312743976031,0.0008746402899695971,0,0,0,0,0,0,0,1
2,-0.3653227791051064,-0.3896029912140651,-0.30385912853914415,-0.3791620867601915,-0.35438770035475253,0.6298434430928356,0.01999372612791111,0.001295812324835244,1,0,0,0,0,0,0,0
12,-0.2949461445586505,-0.35378125003877686,-0.3166494115573847,-0.3500076592698567,-0.3540340873892372,0.7021249019154989,0.013473320185906357,0.0007693472812531854,0,0,0,0,0,0,1,0
10,-0.3468297375124372,-0.30345543198919317,-0.3291306918379038,-0.3937918502112455,-0.35320352888219686,0.454251953332983,0.011382962950128845,0.00034817524638753873,0,0,0,1,0,0,0,0
2,-0.35884859395093144,-0.35632744086619866,-0.3143082185515227,-0.342182766405362,-0.3532357025976776,0.2860397514972154,0.009460422995948787,0.0010852263074024205,0,0,0,0,1,0,0,0
4,-0.3296789732555914,-0.40796667160627087,-0.35449614106458116,-0.41768565767293553,-0.35245251094953955,0.407931362869751,0.023336470574569373,0.0010852263074024205,1,0,0,0,0,0,0,0
0,-0.3943262710128658,-0.35800504625935614,-0.42833992705092216,-0.36643072722778913,-0.3531332233557759,0.7888982153360641,0.03855040018896119,0.0007693472812531854,0,0,1,0,0,0,0,0
2,-0.34940565001161794,-0.3788558723671088,-0.2997115107689467,-0.35881975831339774,-0.3543111388280993,0.6069943226531991,0.015698330547148993,0.0009799332986860088,1,0,0,0,0,0,0,0
