Vote,Avg_environmental_importance,Avg_government_satisfaction,Avg_education_importance,Avg_monthly_expense_on_pets_or_plants,Avg_Residancy_Altitude,Yearly_ExpensesK,Weighted_education_rank,Number_of_valued_Kneset_members,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social
2,-0.07948020897544009,-0.2753029883133201,-0.16276317685428618,-0.3110918634695711,-0.35140958236994296,0.5278609916356012,0.11415303563934584,0.0016071272775143137,0,0,0,0,0,0,0,0
12,-0.19897686021086644,-0.4524865148453989,-0.1861830464418949,-0.3972431575971625,-0.35190489687346294,0.5936571742056741,0.04079387003502664,0.0015616284447790701,0,1,0,0,0,0,0,0
0,-0.48986377151398,-0.4381578430680229,-0.08446862997914188,-0.33851692325054034,-0.35285622546139456,0.36077070560794594,0.09095958135044797,0.0013032519092283875,0,0,0,0,0,0,0,0
2,-0.3946300285646595,-0.4954352925503721,-0.3070861845900443,-0.4099242960831243,-0.35299031076172727,0.3049787533990435,0.10625422851321979,0.0013133860929699125,0,0,0,0,0,0,0,0
0,-0.1569957180523867,-0.2922641817209197,-0.5783523281608587,-0.3557868662898145,-0.3504613247142675,0.6352049556430746,0.08116464808340354,0.0013543907483801788,0,0,0,0,0,0,0,0
2,-0.23572299610960112,-0.34995249184468163,-0.28386999787410205,-0.32593217453643825,-0.352564681188111,0.584928590927335,0.1003019445232054,0.0009939541607303637,0,0,0,0,0,0,0,0
0,-0.5610743146450602,-0.36401314176124383,-0.4901129835940255,-0.3944820374444736,-0.3505832083344633,0.6506535246541277,0.10423437125676212,0.0014544696283743431,0,0,0,0,0,0,0,0
9,-0.18645329316963846,-0.44554640114096367,-0.5893670057787171,-0.3418256006729508,-0.35271097444074245,0.49328261155559405,0.07355690510513246,0.0009231512489394468,0,0,0,0,0,0,0,0
0,-0.4669920696595333,-0.4347529828391419,-0.17274331105632118,-0.40326074224524744,-0.3515505664189956,0.7350242642542507,0.07242972759487092,0.0007791938845560669,0,0,0,0,0,0,0,0
9,-0.18610196796129727,-0.2189630686661797,-0.43211904479378194,-0.4118161990331413,-0.35247948546732755,0.5605304887037206,0.042983925005581305,0.0014359848021228637,0,0,1,0,0,0,0,0
3,-0.13217236813688202,-0.2840902963205411,-0.3961995740949199,-0.37165415644123656,-0.35319434130660105,0.5002300404629975,0.07655438390554226,0.0011057765995289323,0,0,0,0,0,0,0,0
10,-0.4340503446078278,-0.4226308824877464,-0.161224214486111,-0.33405028945259635,-0.35302188944541185,0.6634909575799334,0.09376968107561735,0.0011840520108988828,0,0,0,0,0,0,0,0
0,-0.43742275047783363,-0.3499389256562644,-0.5781104138048208,-0.393406241508078,-0.353331735659511,0.7372249281698363,0.00554076661179602,0.0009289659517101538,0,1,0,0,0,0,0,0
6,-0.15055086780246707,-0.49300120295434946,-0.5323855859812247,-0.38248424203947123,-0.3533782542869364,0.21654939279677485,0.05801118103837521,0.0011730884304893155,0,0,0,0,0,0,0,0
2,-0.06402818063267454,-0.1318332677874042,-0.5111029591319862,-0.3422996237748637,-0.35313230286253317,0.7472089911054434,0.08628546269750569,0.001702243979468364,0,0,0,0,0,0,0,0
8,-0.4634467197364051,-0.5110522090913158,-0.586624626873362,-0.3334219720232256,-0.35108269144179693,0.554582757487908,0.08636652031636757,0.001352655597119505,0,0,0,0,0,0,0,0
2,-0.22372120179046526,-0.3815751638131284,-0.304081638499534,-0.41268068261690793,-0.35196731614760784,0.20572220058184112,0.08402962705710311,0.001363907145340118,0,0,0,0,0,0,0,0
4,-0.2580548122502259,-0.28114870576553264,-0.3722011274471107,-0.3735346666126884,-0.3519603048730013,0.3659831393227133,0.02824854823429594,0.0011044953774953926,0,0,0,0,0,0,0,0
5,-0.18936542558492792,-0.3543031857619247,-0.44122136593504746,-0.3609333526697203,-0.3511579122168176,0.23327044518032253,0.06884918395431254,0.001135774195696686,0,0,0,0,0,0,0,0
5,-0.3214391358666303,-0.41792392818229357,-0.4228538943348301,-0.3689678360064226,-0.35275431329740814,0.3331119136693039,0.10012118148895402,0.0018529738178220333,0,0,0,0,0,0,0,0
9,-0.26830388221526846,-0.40732995092634816,-0.24939290652488955,-0.3715185942835393,-0.350761258629048,0.6862877175728176,0.07475120106230763,0.001024067516298373,0,0,0,0,0,0,0,0
2,-0.3449276075821464,-0.35821228130630095,-0.395001881608325,-0.36320022171035,-0.3529190583369278,0.3268959270810493,0.07391020323934738,0.0017054683951159032,0,0,0,0,0,0,0,0
0,-0.43378713946823255,-0.2762213656691472,-0.2580274283857814,-0.3313747758967541,-0.351613663943815,0.4505354919258094,0.09682546894011003,0.0013282008318772295,0,0,0,0,0,0,0,0
8,-0.3188396514172923,-0.22416772200650978,-0.35611335261496696,-0.3853105784752902,-0.3520828861536394,0.6371171664762697,0.07005022022044971,0.0010655281902820157,0,0,0,0,0,0,0,0
9,-0.21903921571447368,-0.477542449820242,-0.4836789217196786,-0.35391261903399346,-0.35315909486815117,0.28310626596525673,0.07510299500738629,0.0014198124079358922,0,0,0,0,0,0,0,0
6,-0.11192671215011463,-0.3898395472553568,-0.4850085218302258,-0.37355549505474717,-0.3523477921073144,0.4569096970798987,0.0686050386970294,0.0015760936340511705,0,0,0,0,0,0,0,0
7,-0.4647982878568717,-0.3408105136420318,-0.5959390323714019,-0.4075909862658021,-0.3504864534936734,0.5037275134250723,0.10286876965086732,0.0017891471973215895,0,0,0,0,0,0,0,0
11,-0.06711740256304256,-0.24405736162683977,-0.47451006929536066,-0.36815106722897933,-0.3531164019820711,0.538833611362849,0.025284287324451718,0.0007228670601167503,0,1,0,0,0,0,0,0
0,-0.321742212478976,-0.43197260974023755,-0.18927923999893936,-0.35474620554815595,-0.3531164019820711,0.2249158871000605,0.09154025323532476,0.0014033881258616995,0,1,0,0,0,0,0,0
5,-0.3315225577443761,-0.41969745607268283,-0.16009017153306454,-0.264689919995126,-0.35373029044745485,0.38789188980972356,0.057609522220495674,0.0012672839127127098,0,0,1,0,0,0,0,0
5,-0.23647675950589717,-0.40763160221033845,-0.5926107997039545,-0.3188745045429228,-0.35423749942418664,0.8237859111861072,0.08363410882567578,0.0007228670601167503,0,0,1,0,0,0,0,0
0,-0.47823856448890195,-0.45505355930714125,-0.5216627910768623,-0.3456974914809656,-0.353003175376787,0.6837312617825952,0.08892054967664433,0.0015394923390106895,1,0,0,0,0,0,0,0
5,-0.13941472755103923,-0.4933287889026641,-0.1556092641667142,-0.27630207096555387,-0.3523315182352379,0.3611616511255031,0.11067035948358958,0.0009950754864147299,0,0,0,0,1,0,0,0
12,-0.32943984925913833,-0.3193410618024597,-0.29973942115753366,-0.3474881886102904,-0.3547073513236648,0.720347737351309,0.017764581028586298,0.0008589712732657402,0,0,0,0,0,0,1,0
6,-0.3049918805097546,-0.346814959101094,-0.37779581865235445,-0.4089640893799426,-0.3531622317984956,0.20237538177693978,0.015402492157068839,0.0011311796995637198,1,0,0,0,0,0,0,0
0,-0.1375754538696155,-0.24308552709169734,-0.24008227818486919,-0.39997884799594374,-0.35195332596860873,0.4488688796642103,0.07633382563889775,0.0012672839127127098,1,0,0,0,0,0,0,0
2,-0.3595339165392937,-0.35124025724663216,-0.3705032134140725,-0.3013281342036469,-0.35395520315999196,0.3797714363557199,0.017504103496476686,0.0012672839127127098,1,0,0,0,0,0,0,0
0,-0.44773747293790483,-0.3432014551663807,-0.4812154639920644,-0.38920919931970666,-0.35344799418326023,0.7832419189163937,0.0578738918763676,0.0011311796995637198,0,0,0,0,0,0,0,1
11,-0.2461546191032077,-0.24718118345362586,-0.35786391185573857,-0.2828868784047582,-0.35545718874029103,0.7157814474568576,0.03194657694776641,0.0005867628469677605,0,0,0,0,1,0,0,0
2,-0.346944363612898,-0.33038317433426256,-0.3730111770368683,-0.3865331030688373,-0.35457024699889905,0.5173632280809807,0.01003814648063792,0.0012672839127127098,0,1,0,0,0,0,0,0
0,-0.12811387733827975,-0.1269308078216242,-0.1714662227307404,-0.31726446853341994,-0.35242818448668795,0.5550997370200315,0.10812190091381409,0.0012672839127127098,0,0,0,0,1,0,0,0
6,-0.31402738056409396,-0.35167131128718215,-0.37924685608775155,-0.3231930163246028,-0.35323579057947946,0.21883125667958525,0.015934530920968755,0.0009950754864147299,0,1,0,0,0,0,0,0
2,-0.3625833739535619,-0.3549342604196981,-0.35102750074223193,-0.41178522001173534,-0.3533313014574062,0.24019804712909348,0.01865928934354638,0.0014033881258616995,0,1,0,0,0,0,0,0
10,-0.3317632120449509,-0.25996512655023646,-0.34738884052490393,-0.3724467203142167,-0.35243011010922676,0.6019362435571753,0.013894213810584989,0.0003145544206697809,0,0,0,0,0,1,0,0
10,-0.3065594211915398,-0.2859670518675959,-0.3935095269657289,-0.3760685635166789,-0.35248826390989985,0.22391448505265374,0.013727612379534874,0.0008589712732657402,0,0,0,1,0,0,0,0
0,-0.37908147862202635,-0.30815423565166544,-0.5280995797544625,-0.31322145809445767,-0.3518485721024956,0.4254343353002335,0.058264908633516584,0.0012672839127127098,0,0,1,0,0,0,0,0
0,-0.14462558599750042,-0.13120219728017077,-0.17586284250825063,-0.3826209272910804,-0.3521443477244622,0.49160246056322676,0.10309708810747548,0.0012672839127127098,0,0,0,0,0,0,0,1
6,-0.3361499420918758,-0.3221225516208198,-0.37820944088885977,-0.3625487844239533,-0.3540514842869342,0.40131053963143387,0.007618353081279724,0.0005867628469677605,0,0,1,0,0,0,0,0
2,-0.38052068736918676,-0.346869813152027,-0.36576606756106783,-0.2880029588230402,-0.3546873248492608,0.5435547776642489,0.021043557289307742,0.0012672839127127098,0,0,1,0,0,0,0,0
11,-0.24668942500402383,-0.24510394229791035,-0.3653902212527158,-0.3122301762220712,-0.35394326430025114,0.3771005875495314,0.03233831848050768,0.0003145544206697809,0,0,1,0,0,0,0,0
2,-0.3284955578276841,-0.34273799459447585,-0.3535100215360508,-0.40433117261409557,-0.35505665925221125,0.6261787778298875,0.010647474731766077,0.0015394923390106895,0,1,0,0,0,0,0,0
0,-0.2206279674971016,-0.28190257457663576,-0.24037004005746204,-0.39292015299281424,-0.3514896360612549,0.34513655828837186,0.05193801340458037,0.0012672839127127098,0,0,1,0,0,0,0,0
11,-0.25643182287655153,-0.24705358440675568,-0.35677606227857017,-0.40406103854940995,-0.3542467424123731,0.4449918410745818,0.029209276785276104,0.0008589712732657402,0,0,0,0,1,0,0,0
